Summary,Issue key,Component/s,Component/s,Component/s,Component/s,Description
TestDiskError.testShutdown fails with port out of range: -1 error,HDFS-834,,,,,"The current build is broken on the TestDiskError.testShutdown unit test with the following error:
port out of range:-1

http://hudson.zones.apache.org/hudson/view/Hadoop/job/Hadoop-Hdfs-trunk/171/"
TestDiskError.testReplicationError fails with locked storage error ,HDFS-833,,,,,"The current build is failing with on TestDiskError.testReplication with the following error:
Cannot lock storage /grid/0/hudson/hudson-slave/workspace/Hadoop-Hdfs-trunk/trunk/build/test/data/dfs/name1. The directory is already locked.

 http://hudson.zones.apache.org/hudson/view/Hadoop/job/Hadoop-Hdfs-trunk/171/ "
file size is fluctuating although file is closed,HDFS-743,namenode,,,,"I am seeing that the length of a file sometimes becomes zero after a namenode restart. These files have only one block. All the three replicas of that block on the datanode(s) has non-zero size. Increasing the replication factor of the file causes the file to show its correct non-zero length.

I am marking this as a blocker because it is still to be investigated which releases it affects. I am seeing this on 0.17.x very frequently. I might have seen this on 0.20.x but do not have a reproducible case yet."
start-all.sh / stop-all.sh does not seem to work with HDFS,HDFS-1288,scripts,,,,"The start-all.sh / stop-all.sh script shipping with the ""combined"" hadoop-0.21.0-rc1 does not start/stop the DFS daemons unless $HADOOP_HDFS_HOME is explicitly set."
"Secondary Name Node crash, NPE in edit log replay",HDFS-1002,,,,,"An NPE in SNN, the core of the message looks like yay so:

2010-02-25 11:54:05,834 ERROR org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode: java.lang.NullPointerException
        at org.apache.hadoop.hdfs.server.namenode.FSDirectory.addChild(FSDirectory.java:1152)
        at org.apache.hadoop.hdfs.server.namenode.FSDirectory.addChild(FSDirectory.java:1164)
        at org.apache.hadoop.hdfs.server.namenode.FSDirectory.addNode(FSDirectory.java:1067)
        at org.apache.hadoop.hdfs.server.namenode.FSDirectory.unprotectedAddFile(FSDirectory.java:213)
        at org.apache.hadoop.hdfs.server.namenode.FSEditLog.loadEditRecords(FSEditLog.java:511)
        at org.apache.hadoop.hdfs.server.namenode.FSEditLog.loadFSEdits(FSEditLog.java:401)
        at org.apache.hadoop.hdfs.server.namenode.FSEditLog.loadFSEdits(FSEditLog.java:368)
        at org.apache.hadoop.hdfs.server.namenode.FSImage.loadFSEdits(FSImage.java:1172)
        at org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode$CheckpointStorage.doMerge(SecondaryNameNode.java:594)
        at org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode$CheckpointStorage.access$000(SecondaryNameNode.java:476)
        at org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode.doMerge(SecondaryNameNode.java:353)
        at org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode.doCheckpoint(SecondaryNameNode.java:317)
        at org.apache.hadoop.hdfs.server.namenode.SecondaryNameNode.run(SecondaryNameNode.java:219)
        at java.lang.Thread.run(Thread.java:619)

This happens even if I restart SNN over and over again."
TestFsck times out on branch 0.20.1,HDFS-784,,,,,"Two tests are currently failing on Hudson:

chttp://hudson.zones.apache.org/hudson/view/Hadoop/job/Hadoop-20-Build/lastBuild/testReport

>>> org.apache.hadoop.hdfs.TestDatanodeBlockScanner.testBlockCorruptionPolicy 	0.0020	9
>>> org.apache.hadoop.hdfs.server.namenode.TestFsck.testCorruptBlock 

HDFS-734 has already been filed for TestDatanodeBlockScanner.
"
rollingupgrade needs some guard rails,HDFS-7231,,,,,See first comment.
Hadoop compilation fails on gcc 7.3,HDFS-13737,,,,,"As per document we have specified  *GCC 4.8.1 or later*

Compilation fails on 7.3

{code}
root@bibinpc:~# /usr/bin/gcc-7 --version
gcc-7 (Ubuntu 7.3.0-16ubuntu3) 7.3.0
Copyright (C) 2017 Free Software Foundation, Inc.
This is free software; see the source for copying conditions.  There is NO
warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

{code}

{code}
   [exec] [ 28%] Building CXX object main/native/libhdfspp/lib/common/CMakeFiles/common_obj.dir/ioservice_impl.cc.o
     [exec] In file included from /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/lib/common/ioservice_impl.h:22:0,
     [exec]                  from /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/lib/common/ioservice_impl.cc:19:
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/include/hdfspp/ioservice.h:109:30: error: 鈥榮td::function鈥?has not been declared
     [exec]    virtual void PostTask(std::function<void(void)> asyncTask) = 0;
     [exec]                               ^~~~~~~~
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/include/hdfspp/ioservice.h:109:38: error: expected 鈥?鈥?or 鈥?..鈥?before 鈥?鈥?token
     [exec]    virtual void PostTask(std::function<void(void)> asyncTask) = 0;
     [exec]                                       ^
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/include/hdfspp/ioservice.h: In member function 鈥榲oid hdfs::IoService::PostLambda(LambdaInstance&&)鈥?
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/include/hdfspp/ioservice.h:117:10: error: 鈥榝unction鈥?is not a member of 鈥榮td鈥?
     [exec]      std::function<void(void)> typeEraser = func;
     [exec]           ^~~~~~~~
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/include/hdfspp/ioservice.h:117:10: note: suggested alternative: 鈥榠s_function鈥?
     [exec]      std::function<void(void)> typeEraser = func;
     [exec]           ^~~~~~~~
     [exec]           is_function
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/include/hdfspp/ioservice.h:117:19: error: expected primary-expression before 鈥榲oid鈥?
     [exec]      std::function<void(void)> typeEraser = func;
     [exec]                    ^~~~
     [exec] In file included from /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/lib/common/ioservice_impl.cc:19:0:
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/lib/common/ioservice_impl.h: At global scope:
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/lib/common/ioservice_impl.h:45:22: error: 鈥榮td::function鈥?has not been declared
     [exec]    void PostTask(std::function<void(void)> asyncTask) override;
     [exec]                       ^~~~~~~~
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/lib/common/ioservice_impl.h:45:30: error: expected 鈥?鈥?or 鈥?..鈥?before 鈥?鈥?token
     [exec]    void PostTask(std::function<void(void)> asyncTask) override;
     [exec]                               ^
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/lib/common/ioservice_impl.cc:104:35: error: variable or field 鈥楶ostTask鈥?declared void
     [exec]  void IoServiceImpl::PostTask(std::function<void(void)> asyncTask) {
     [exec]                                    ^~~~~~~~
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/lib/common/ioservice_impl.cc:104:35: error: 鈥榝unction鈥?is not a member of 鈥榮td鈥?
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/lib/common/ioservice_impl.cc:104:35: note: suggested alternative: 鈥榠s_function鈥?
     [exec]  void IoServiceImpl::PostTask(std::function<void(void)> asyncTask) {
     [exec]                                    ^~~~~~~~
     [exec]                                    is_function
     [exec] /opt/apacheprojects/hadoop/YARN3409/hadoop-hdfs-project/hadoop-hdfs-native-client/src/main/native/libhdfspp/lib/common/ioservice_impl.cc:104:44: error: expected primary-expression before 鈥榲oid鈥?
     [exec]  void IoServiceImpl::PostTask(std::function<void(void)> asyncTask) {
     [exec]                                             ^~~~
     [exec] main/native/libhdfspp/lib/common/CMakeFiles/common_obj.dir/build.make:88: recipe for target 'main/native/libhdfspp/lib/common/CMakeFiles/common_obj.dir/ioservice_impl.cc.o' failed
     [exec] CMakeFiles/Makefile2:1966: recipe for target 'main/native/libhdfspp/lib/common/CMakeFiles/common_obj.dir/all' failed
     [exec] Makefile:140: recipe for target 'all' failed
     [exec] make[2]: *** [main/native/libhdfspp/lib/common/CMakeFiles/common_obj.dir/ioservice_impl.cc.o] Error 1
     [exec] make[1]: *** [main/native/libhdfspp/lib/common/CMakeFiles/common_obj.dir/all] Error 2
     [exec] make: *** [all] Error 2

{code}
"
HADOOP_HDFS_LOG_DIR should be HDFS_LOG_DIR in deprecations,HDFS-7913,,,,,"The wrong variable is deprecated in hdfs-config.sh.  It should be HDFS_LOG_DIR, not HADOOP_HDFS_LOG_DIR.  This is breaking backward compatibility.

It might be worthwhile to doublecheck the other dep's to make sure they are correct as well.

Also, release notes for the deprecation jira should be updated to reflect this change."
HdfsFileStatus#getPath returning null.,HDFS-12970,hdfs,,,,"After HDFS-12681, HdfsFileStatus#getPath() returns null.
I don't think this is expected.

Both the implementation of {{HdfsFileStatus}} sets the path to null.
{code:title=HdfsNamedFileStatus.java|borderStyle=solid}
  HdfsNamedFileStatus(long length, boolean isdir, int replication,
                      long blocksize, long mtime, long atime,
                      FsPermission permission, Set<Flags> flags,
                      String owner, String group,
                      byte[] symlink, byte[] path, long fileId,
                      int childrenNum, FileEncryptionInfo feInfo,
                      byte storagePolicy, ErasureCodingPolicy ecPolicy) {
    super(length, isdir, replication, blocksize, mtime, atime,
        HdfsFileStatus.convert(isdir, symlink != null, permission, flags),
        owner, group, null, null,           ------ The last null is for path.
        HdfsFileStatus.convert(flags));
{code}


{code:title=HdfsLocatedFileStatus.java|borderStyle=solid}
  HdfsLocatedFileStatus(long length, boolean isdir, int replication,
                        long blocksize, long mtime, long atime,
                        FsPermission permission, EnumSet<Flags> flags,
                        String owner, String group,
                        byte[] symlink, byte[] path, long fileId,
                        int childrenNum, FileEncryptionInfo feInfo,
                        byte storagePolicy, ErasureCodingPolicy ecPolicy,
                        LocatedBlocks hdfsloc) {
    super(length, isdir, replication, blocksize, mtime, atime,
        HdfsFileStatus.convert(isdir, symlink != null, permission, flags),
        owner, group, null, null, HdfsFileStatus.convert(flags),  -- The last null on this line is for path.
        null);
{code}
"
DFS.concat should throw exception if files have different EC policies. ,HDFS-12923,erasure-coding,,,,"{{DFS#concat}} appends blocks from different files to a single file. However, if these files have different EC policies, or mixed with replicated and EC files, the resulted file would be problematic to read, because the EC codec is defined in INode instead of in a block. 

"
NameNode fails to start after upgrade - Missing state in ECPolicy Proto ,HDFS-12918,hdfs,,,,"According to documentation and code comments, the default setting for erasure coding policy is disabled:

/** Policy is disabled. It's policy default state. */
 DISABLED(1),

However, HDFS-12258 appears to have incorrectly set the policy state in the protobuf to enabled:

{code:java}
 message ErasureCodingPolicyProto {
    ooptional string name = 1;
    optional ECSchemaProto schema = 2;
    optional uint32 cellSize = 3;
    required uint32 id = 4; // Actually a byte - only 8 bits used
 + optional ErasureCodingPolicyState state = 5 [default = ENABLED];
  }
{code}

This means the parameter can't actually be optional, it must always be included, and existing serialized data without this optional field will be incorrectly interpreted as having erasure coding enabled.

This unnecessarily breaks compatibility and will require existing HDFS installations that store metadata in protobufs to require reformatting.

It looks like a simple mistake that was overlooked in code review."
"I didn't find the ""-find"" command on hadoop2.6",HDFS-12715,auto-failover,,,,"When I looked for files on HDFS, I found no ""find"" command. I didn't find the ""find"" command by using ""Hadoop FS -help"".
"
WebHdfsFileSystem#getFileBlockLocations will always return BlockLocation#corrupt as false,HDFS-12442,webhdfs,,,,"Was going through {{JsonUtilClient#toBlockLocation}} code.
Below is the relevant code snippet.
{code:title=JsonUtilClient.java|borderStyle=solid}
 /** Convert a Json map to BlockLocation. **/
  static BlockLocation toBlockLocation(Map<?, ?> m)
      throws IOException{
    ...
    ...  
    boolean corrupt = Boolean.
        getBoolean(m.get(""corrupt"").toString());
    ...
    ...
  }
{code}
According to java docs for {{Boolean#getBoolean}}
{noformat}
Returns true if and only if the system property named by the argument exists and is equal to the string ""true"". 
{noformat}
I assume, the map value for key {{corrupt}} will be populated with either {{true}} or {{false}}.
On the client side, {{Boolean#getBoolean}} will look for system property for true or false.
So it will always return false unless the system property is set for true or false."
